site	year	crop	date	precp	daily_max_air_temp	daily_min_air_temp
Andrew AGDM	2007	Grass	2007-01-01	0	-12.7	-21.5
Andrew AGDM	2007	Grass	2007-01-02	0	-3.6	-12.7
Andrew AGDM	2007	Grass	2007-01-03	0	-3.8	-16.6
Andrew AGDM	2007	Grass	2007-01-04	0	0	-12.1
Andrew AGDM	2007	Grass	2007-01-05	0	-3	-12.4
Andrew AGDM	2007	Grass	2007-01-06	0	-5	-14.2
Andrew AGDM	2007	Grass	2007-01-07	0.3	-7.6	-21.8
Andrew AGDM	2007	Grass	2007-01-08	0	-15.5	-24.4
Andrew AGDM	2007	Grass	2007-01-09	0.2	-14.4	-22.7
Andrew AGDM	2007	Grass	2007-01-10	0.1	-15.6	-21.4
Andrew AGDM	2007	Grass	2007-01-11	0.1	-9.3	-23.4
Andrew AGDM	2007	Grass	2007-01-12	0	-8.8	-18.1
Andrew AGDM	2007	Grass	2007-01-13	0	-8.5	-18.4
Andrew AGDM	2007	Grass	2007-01-14	0	-4.8	-11.8
Andrew AGDM	2007	Grass	2007-01-15	0.1	-1.1	-19.5
Andrew AGDM	2007	Grass	2007-01-16	0.8	-3.5	-26.3
Andrew AGDM	2007	Grass	2007-01-17	2.2	-3.9	-22.4
Andrew AGDM	2007	Grass	2007-01-18	0	-14.4	-25.1
Andrew AGDM	2007	Grass	2007-01-19	0	-13.8	-19.7
Andrew AGDM	2007	Grass	2007-01-20	0	-14.9	-21.7
Andrew AGDM	2007	Grass	2007-01-21	0.1	-8.7	-27.8
Andrew AGDM	2007	Grass	2007-01-22	0	-2.9	-18.4
Andrew AGDM	2007	Grass	2007-01-23	0	-7.1	-19.1
Andrew AGDM	2007	Grass	2007-01-24	0	-5.5	-18.9
Andrew AGDM	2007	Grass	2007-01-25	0	-1	-15.7
Andrew AGDM	2007	Grass	2007-01-26	0	-4.6	-15.1
Andrew AGDM	2007	Grass	2007-01-27	2.8	-4.6	-28.3
Andrew AGDM	2007	Grass	2007-01-28	1.3	-28.2	-37.8
Andrew AGDM	2007	Grass	2007-01-29	0.1	-32.6	-46.2
Andrew AGDM	2007	Grass	2007-01-30	0.2	-26.5	-33
Andrew AGDM	2007	Grass	2007-01-31	0.2	-23.1	-30.8
Andrew AGDM	2007	Grass	2007-02-01	0.5	-20.4	-31.4
Andrew AGDM	2007	Grass	2007-02-02	0	-20.9	-28.8
Andrew AGDM	2007	Grass	2007-02-03	0.4	-16.8	-28.8
Andrew AGDM	2007	Grass	2007-02-04	0.1	-19.2	-33.4
Andrew AGDM	2007	Grass	2007-02-05	0	-8.1	-26.2
Andrew AGDM	2007	Grass	2007-02-06	0.1	-5.2	-23.2
Andrew AGDM	2007	Grass	2007-02-07	0.1	-17	-23.1
Andrew AGDM	2007	Grass	2007-02-08	0.6	-18.2	-30.7
Andrew AGDM	2007	Grass	2007-02-09	0	-26.4	-34.5
Andrew AGDM	2007	Grass	2007-02-10	0.1	-18.3	-28.7
Andrew AGDM	2007	Grass	2007-02-11	0.8	-1.1	-20.1
Andrew AGDM	2007	Grass	2007-02-12	1.1	-1.2	-15.5
Andrew AGDM	2007	Grass	2007-02-13	0.9	-14	-19.8
Andrew AGDM	2007	Grass	2007-02-14	0.5	-13.1	-16.8
Andrew AGDM	2007	Grass	2007-02-15	0.1	6.2	-13.6
Andrew AGDM	2007	Grass	2007-02-16	0	2.1	-4.2
Andrew AGDM	2007	Grass	2007-02-17	0	-0.2	-11.8
Andrew AGDM	2007	Grass	2007-02-18	0.1	0	-19.8
