site	year	crop	depth	porosity	field_capacity	wilting_point	ksat_mm_h	initial_soil_moisture	inflection_point_negMPa
Andrew AGDM	2007	Grass	1	0.52	0.389	0.096	-1	0.096	0.027
Andrew AGDM	2007	Grass	9	0.52	0.389	0.096	-1	0.096	0.027
Andrew AGDM	2007	Grass	15	0.44	0.376	0.159	-1	0.159	0.042
Andrew AGDM	2007	Grass	25	0.44	0.376	0.159	-1	0.159	0.042
Andrew AGDM	2007	Grass	35	0.44	0.376	0.159	-1	0.159	0.042
Andrew AGDM	2007	Grass	45	0.44	0.376	0.159	-1	0.159	0.042
Andrew AGDM	2007	Grass	55	0.41	0.371	0.322	-1	0.322	0.003
Andrew AGDM	2007	Grass	65	0.41	0.371	0.322	-1	0.322	0.003
Andrew AGDM	2007	Grass	75	0.41	0.371	0.322	-1	0.322	0.003
Andrew AGDM	2007	Grass	85	0.41	0.371	0.322	-1	0.322	0.003
Andrew AGDM	2007	Grass	95	0.41	0.371	0.322	-1	0.322	0.003
Andrew AGDM	2007	Grass	105	0.4	0.375	0.346	-1	0.346	0.002
Andrew AGDM	2008	Grass	1	-1	-1	-1	-1	-1	-1
Andrew AGDM	2008	Grass	9	-1	-1	-1	-1	-1	-1
Andrew AGDM	2008	Grass	15	-1	-1	-1	-1	-1	-1
Andrew AGDM	2008	Grass	25	-1	-1	-1	-1	-1	-1
Andrew AGDM	2008	Grass	35	-1	-1	-1	-1	-1	-1
Andrew AGDM	2008	Grass	45	-1	-1	-1	-1	-1	-1
Andrew AGDM	2008	Grass	55	-1	-1	-1	-1	-1	-1
Andrew AGDM	2008	Grass	65	-1	-1	-1	-1	-1	-1
Andrew AGDM	2008	Grass	75	-1	-1	-1	-1	-1	-1
Andrew AGDM	2008	Grass	85	-1	-1	-1	-1	-1	-1
Andrew AGDM	2008	Grass	95	-1	-1	-1	-1	-1	-1
Andrew AGDM	2008	Grass	105	-1	-1	-1	-1	-1	-1
Andrew AGDM	2009	Grass	1	-1	-1	-1	-1	-1	-1
Andrew AGDM	2009	Grass	9	-1	-1	-1	-1	-1	-1
Andrew AGDM	2009	Grass	15	-1	-1	-1	-1	-1	-1
Andrew AGDM	2009	Grass	25	-1	-1	-1	-1	-1	-1
Andrew AGDM	2009	Grass	35	-1	-1	-1	-1	-1	-1
Andrew AGDM	2009	Grass	45	-1	-1	-1	-1	-1	-1
Andrew AGDM	2009	Grass	55	-1	-1	-1	-1	-1	-1
Andrew AGDM	2009	Grass	65	-1	-1	-1	-1	-1	-1
Andrew AGDM	2009	Grass	75	-1	-1	-1	-1	-1	-1
Andrew AGDM	2009	Grass	85	-1	-1	-1	-1	-1	-1
Andrew AGDM	2009	Grass	95	-1	-1	-1	-1	-1	-1
Andrew AGDM	2009	Grass	105	-1	-1	-1	-1	-1	-1
Andrew AGDM	2010	Grass	1	-1	-1	-1	-1	-1	-1
Andrew AGDM	2010	Grass	9	-1	-1	-1	-1	-1	-1
Andrew AGDM	2010	Grass	15	-1	-1	-1	-1	-1	-1
Andrew AGDM	2010	Grass	25	-1	-1	-1	-1	-1	-1
Andrew AGDM	2010	Grass	35	-1	-1	-1	-1	-1	-1
Andrew AGDM	2010	Grass	45	-1	-1	-1	-1	-1	-1
Andrew AGDM	2010	Grass	55	-1	-1	-1	-1	-1	-1
Andrew AGDM	2010	Grass	65	-1	-1	-1	-1	-1	-1
Andrew AGDM	2010	Grass	75	-1	-1	-1	-1	-1	-1
Andrew AGDM	2010	Grass	85	-1	-1	-1	-1	-1	-1
Andrew AGDM	2010	Grass	95	-1	-1	-1	-1	-1	-1
Andrew AGDM	2010	Grass	105	-1	-1	-1	-1	-1	-1
Andrew AGDM	2011	Grass	1	-1	-1	-1	-1	-1	-1
Andrew AGDM	2011	Grass	9	-1	-1	-1	-1	-1	-1
Andrew AGDM	2011	Grass	15	-1	-1	-1	-1	-1	-1
Andrew AGDM	2011	Grass	25	-1	-1	-1	-1	-1	-1
Andrew AGDM	2011	Grass	35	-1	-1	-1	-1	-1	-1
Andrew AGDM	2011	Grass	45	-1	-1	-1	-1	-1	-1
Andrew AGDM	2011	Grass	55	-1	-1	-1	-1	-1	-1
Andrew AGDM	2011	Grass	65	-1	-1	-1	-1	-1	-1
Andrew AGDM	2011	Grass	75	-1	-1	-1	-1	-1	-1
Andrew AGDM	2011	Grass	85	-1	-1	-1	-1	-1	-1
Andrew AGDM	2011	Grass	95	-1	-1	-1	-1	-1	-1
Andrew AGDM	2011	Grass	105	-1	-1	-1	-1	-1	-1
Andrew AGDM	2012	Grass	1	-1	-1	-1	-1	-1	-1
Andrew AGDM	2012	Grass	9	-1	-1	-1	-1	-1	-1
Andrew AGDM	2012	Grass	15	-1	-1	-1	-1	-1	-1
Andrew AGDM	2012	Grass	25	-1	-1	-1	-1	-1	-1
Andrew AGDM	2012	Grass	35	-1	-1	-1	-1	-1	-1
Andrew AGDM	2012	Grass	45	-1	-1	-1	-1	-1	-1
Andrew AGDM	2012	Grass	55	-1	-1	-1	-1	-1	-1
Andrew AGDM	2012	Grass	65	-1	-1	-1	-1	-1	-1
Andrew AGDM	2012	Grass	75	-1	-1	-1	-1	-1	-1
Andrew AGDM	2012	Grass	85	-1	-1	-1	-1	-1	-1
Andrew AGDM	2012	Grass	95	-1	-1	-1	-1	-1	-1
Andrew AGDM	2012	Grass	105	-1	-1	-1	-1	-1	-1
Atmore AGDM	2007	Grass	1	0.43	0.366	0.118	-1	0.118	0.038
Atmore AGDM	2007	Grass	9	0.43	0.366	0.118	-1	0.118	0.038
Atmore AGDM	2007	Grass	15	0.42	0.315	0.125	-1	0.125	0.022
Atmore AGDM	2007	Grass	25	0.42	0.315	0.125	-1	0.125	0.022
Atmore AGDM	2007	Grass	35	0.42	0.315	0.125	-1	0.125	0.022
Atmore AGDM	2007	Grass	45	0.42	0.315	0.125	-1	0.125	0.022
Atmore AGDM	2007	Grass	55	0.39	0.284	0.194	-1	0.194	0.003
Atmore AGDM	2007	Grass	65	0.39	0.284	0.194	-1	0.194	0.003
Atmore AGDM	2007	Grass	75	0.39	0.284	0.194	-1	0.194	0.003
Atmore AGDM	2007	Grass	85	0.39	0.284	0.194	-1	0.194	0.003
Atmore AGDM	2007	Grass	95	0.39	0.284	0.194	-1	0.194	0.003
Atmore AGDM	2007	Grass	105	0.39	0.23	0.176	-1	0.176	0.001
Atmore AGDM	2008	Grass	1	-1	-1	-1	-1	-1	-1
Atmore AGDM	2008	Grass	9	-1	-1	-1	-1	-1	-1
Atmore AGDM	2008	Grass	15	-1	-1	-1	-1	-1	-1
Atmore AGDM	2008	Grass	25	-1	-1	-1	-1	-1	-1
Atmore AGDM	2008	Grass	35	-1	-1	-1	-1	-1	-1
Atmore AGDM	2008	Grass	45	-1	-1	-1	-1	-1	-1
Atmore AGDM	2008	Grass	55	-1	-1	-1	-1	-1	-1
Atmore AGDM	2008	Grass	65	-1	-1	-1	-1	-1	-1
Atmore AGDM	2008	Grass	75	-1	-1	-1	-1	-1	-1
Atmore AGDM	2008	Grass	85	-1	-1	-1	-1	-1	-1
Atmore AGDM	2008	Grass	95	-1	-1	-1	-1	-1	-1
Atmore AGDM	2008	Grass	105	-1	-1	-1	-1	-1	-1
Atmore AGDM	2009	Grass	1	-1	-1	-1	-1	-1	-1
Atmore AGDM	2009	Grass	9	-1	-1	-1	-1	-1	-1
Atmore AGDM	2009	Grass	15	-1	-1	-1	-1	-1	-1
Atmore AGDM	2009	Grass	25	-1	-1	-1	-1	-1	-1
